interaction_id,session_id,lesson_id,part_id,action,time_spent_seconds,audio_replays,audio_interrupts,timestamp
41,10,4,62,pause,125,2,3,2025-04-19T10:58:09
42,10,1,93,stop,145,4,4,2025-04-19T10:50:33
43,10,12,121,stop,798,0,0,2025-04-19T10:38:23
44,10,1,68,pause,71,0,0,2025-04-19T11:09:02
45,10,19,161,resume,795,0,0,2025-04-19T10:50:22
46,10,6,164,resume,640,0,0,2025-04-19T10:41:10
47,10,6,131,stop,837,2,4,2025-04-19T10:47:16
48,11,42,175,resume,327,0,0,2026-04-09T09:06:32
49,11,16,15,pause,454,0,0,2026-04-09T08:06:31
50,11,4,80,resume,683,0,0,2026-04-09T09:10:52
51,11,46,36,resume,177,4,2,2026-04-09T08:48:27
52,11,47,67,pause,139,0,0,2026-04-09T09:11:48
53,11,47,31,resume,40,0,0,2026-04-09T08:29:05
54,11,34,17,pause,600,0,0,2026-04-09T08:59:13
55,11,33,93,start,889,0,0,2026-04-09T08:52:58
56,11,17,27,stop,700,0,0,2026-04-09T09:09:01
57,11,33,1,start,893,1,1,2026-04-09T07:59:19
58,12,10,46,stop,888,0,0,2025-11-02T20:59:03
59,12,46,190,resume,239,0,0,2025-11-02T21:21:41
60,12,47,82,pause,89,0,0,2025-11-02T21:41:25
61,12,44,14,pause,833,5,0,2025-11-02T22:11:38
62,12,30,73,resume,328,3,0,2025-11-02T21:39:57
63,12,13,75,resume,321,5,1,2025-11-02T21:32:55
64,13,13,188,stop,788,0,0,2026-04-10T17:29:49
65,13,27,7,pause,364,1,2,2026-04-10T17:12:20
66,13,47,79,start,552,0,0,2026-04-10T17:33:56
67,13,4,37,resume,105,0,0,2026-04-10T17:13:16
68,13,34,106,resume,391,4,5,2026-04-10T17:14:11
69,13,9,164,resume,86,5,4,2026-04-10T17:13:41
70,13,9,61,pause,881,0,0,2026-04-10T17:19:14
71,13,45,189,pause,473,0,0,2026-04-10T17:18:17
72,13,13,35,resume,608,1,1,2026-04-10T17:14:38
73,13,21,105,start,376,0,0,2026-04-10T17:33:32
74,14,30,68,stop,102,0,0,2026-04-30T09:21:28
75,14,46,179,resume,230,0,0,2026-04-30T09:28:15
76,14,6,183,pause,374,0,0,2026-04-30T09:23:51
77,14,20,67,resume,188,1,3,2026-04-30T09:28:26
78,15,16,25,pause,833,0,0,2026-02-09T18:58:45
79,15,4,57,start,853,4,2,2026-02-09T18:53:22
80,15,6,150,resume,842,0,0,2026-02-09T18:22:48
81,15,13,166,pause,141,0,0,2026-02-09T18:23:39
82,15,22,32,start,482,0,0,2026-02-09T18:21:35
83,15,28,186,pause,40,0,0,2026-02-09T18:38:12
84,15,23,55,stop,291,0,0,2026-02-09T18:33:03
85,15,3,158,resume,261,0,0,2026-02-09T18:51:25
86,15,36,123,start,296,0,0,2026-02-09T18:38:13
87,16,34,64,resume,831,5,0,2026-01-31T20:49:39
88,16,23,123,resume,506,0,0,2026-01-31T20:01:54
89,16,21,100,pause,36,0,0,2026-01-31T20:00:02
90,16,18,15,resume,493,5,2,2026-01-31T20:33:11
91,16,11,26,pause,256,0,0,2026-01-31T19:56:10
92,16,4,57,resume,826,0,0,2026-01-31T20:05:11
93,16,12,46,pause,335,0,0,2026-01-31T20:36:06
94,17,2,181,resume,591,0,0,2026-03-15T18:20:26
95,17,13,127,resume,189,0,0,2026-03-15T18:16:55
96,17,15,155,pause,549,4,0,2026-03-15T18:09:18
97,17,9,88,resume,831,0,0,2026-03-15T18:33:54
98,17,2,38,resume,155,0,0,2026-03-15T18:30:33
99,17,24,19,pause,688,0,0,2026-03-15T18:12:22
100,18,21,35,stop,759,0,0,2026-05-30T06:36:22
101,18,32,167,pause,734,0,0,2026-05-30T06:38:33
102,19,15,171,resume,189,0,0,2025-05-10T06:55:56
103,19,19,33,pause,11,0,0,2025-05-10T07:59:14
104,19,26,146,start,626,0,0,2025-05-10T06:49:15
105,19,40,57,resume,116,0,0,2025-05-10T07:57:54
106,19,5,61,pause,337,2,5,2025-05-10T07:52:12
107,19,46,172,resume,353,4,0,2025-05-10T06:43:22
108,19,5,90,pause,120,1,0,2025-05-10T06:56:46
109,19,11,106,pause,397,0,0,2025-05-10T06:52:55
110,19,31,148,resume,713,0,0,2025-05-10T06:38:58
111,19,3,76,start,277,0,0,2025-05-10T07:59:34
112,20,25,42,resume,570,0,0,2026-02-27T19:07:34
113,20,22,153,stop,504,0,0,2026-02-27T18:42:53
114,21,11,156,stop,170,0,0,2026-02-20T17:19:51
115,21,13,105,resume,749,0,0,2026-02-20T18:40:05
116,21,43,73,pause,108,0,0,2026-02-20T17:19:29
117,21,32,40,start,13,0,0,2026-02-20T17:54:16
118,21,43,161,resume,214,1,0,2026-02-20T17:33:58
119,21,6,122,stop,325,0,0,2026-02-20T18:27:08
120,21,43,68,start,567,0,0,2026-02-20T17:50:35
121,22,24,48,pause,279,0,0,2024-12-12T20:17:12
122,22,18,145,start,780,1,0,2024-12-12T20:38:40
123,22,27,194,resume,576,0,0,2024-12-12T19:41:35
124,22,34,108,stop,713,0,0,2024-12-12T20:57:21
125,22,16,122,pause,414,0,0,2024-12-12T21:00:43
126,22,33,147,stop,829,0,0,2024-12-12T20:29:35
127,23,29,45,stop,181,2,1,2026-03-22T14:12:42
128,23,44,112,pause,852,0,0,2026-03-22T14:45:46
129,23,17,82,stop,836,0,0,2026-03-22T14:08:48
130,23,26,142,pause,292,0,0,2026-03-22T14:38:40
131,23,1,180,resume,545,0,0,2026-03-22T14:55:58
132,23,10,38,resume,606,1,0,2026-03-22T14:41:31
133,23,19,138,stop,430,3,3,2026-03-22T14:47:35
134,23,31,10,pause,422,0,0,2026-03-22T14:13:52
135,23,45,103,start,349,0,0,2026-03-22T14:49:57
136,23,31,69,stop,30,3,2,2026-03-22T14:24:54
137,24,44,26,stop,243,0,0,2025-08-21T03:50:02
138,24,29,83,pause,436,0,0,2025-08-21T04:30:02
139,24,29,55,stop,426,4,4,2025-08-21T04:52:19
140,24,33,41,start,736,0,0,2025-08-21T04:21:41
141,24,34,146,start,207,2,0,2025-08-21T03:59:49
142,24,24,181,pause,387,0,0,2025-08-21T04:48:36
143,24,41,32,resume,257,0,0,2025-08-21T04:10:16
144,24,12,122,resume,368,0,0,2025-08-21T04:07:52
145,25,45,24,pause,405,0,0,2025-12-26T21:13:50
146,25,14,57,resume,703,0,0,2025-12-26T21:18:14
147,25,33,6,stop,795,0,0,2025-12-26T21:31:33
148,25,9,166,pause,830,0,0,2025-12-26T21:12:41
149,25,20,183,stop,668,3,3,2025-12-26T21:37:31
150,26,14,120,pause,543,0,0,2024-12-27T13:29:36
151,26,7,2,resume,688,0,0,2024-12-27T13:44:57
152,26,36,166,resume,299,0,0,2024-12-27T12:32:49
153,26,5,87,stop,665,3,2,2024-12-27T12:28:47
154,26,42,77,pause,539,0,0,2024-12-27T13:23:15
155,26,39,104,resume,707,0,0,2024-12-27T12:15:41
156,27,19,67,stop,424,0,0,2025-03-09T06:26:40
157,28,37,49,pause,740,0,0,2025-09-20T07:26:12
158,29,31,172,pause,317,0,0,2025-08-08T06:46:05
159,29,36,47,pause,492,0,0,2025-08-08T05:37:12
160,29,36,47,stop,353,1,1,2025-08-08T05:59:02
161,29,20,108,resume,349,0,0,2025-08-08T06:00:36
162,29,30,31,pause,897,0,0,2025-08-08T06:25:50
163,29,40,19,pause,209,0,0,2025-08-08T06:12:58
164,29,25,136,pause,65,0,0,2025-08-08T06:48:32
165,29,13,88,pause,593,4,1,2025-08-08T05:55:18
166,29,6,125,pause,191,0,0,2025-08-08T05:55:01
167,30,18,54,resume,182,5,1,2025-05-30T12:33:34
168,31,28,163,pause,449,4,3,2025-01-09T12:34:41
169,31,47,96,stop,339,0,0,2025-01-09T13:06:17
170,32,44,2,resume,264,2,5,2025-05-31T15:22:54
171,32,7,99,resume,323,0,0,2025-05-31T15:01:36
172,32,20,75,pause,542,0,0,2025-05-31T15:14:29
173,32,44,35,pause,511,0,0,2025-05-31T15:07:22
174,32,26,5,pause,754,2,1,2025-05-31T15:18:37
175,32,11,32,pause,676,0,0,2025-05-31T15:20:21
176,32,41,66,resume,648,0,0,2025-05-31T14:58:03
177,32,43,28,resume,30,0,0,2025-05-31T14:58:02
178,32,29,98,start,268,4,5,2025-05-31T15:01:11
179,33,43,26,resume,286,0,0,2026-02-09T05:10:30
180,34,7,131,resume,130,0,0,2025-01-25T17:24:32
181,34,32,51,resume,806,0,0,2025-01-25T17:22:26
182,34,13,92,resume,312,0,0,2025-01-25T17:11:33
183,35,14,177,stop,348,0,0,2025-01-31T01:35:05
184,35,6,29,stop,695,4,1,2025-01-31T01:56:32
185,35,5,186,resume,272,0,0,2025-01-31T01:47:22
186,35,19,68,pause,112,0,0,2025-01-31T01:52:26
187,35,19,93,resume,330,0,0,2025-01-31T01:40:49
188,35,3,3,stop,689,2,2,2025-01-31T01:38:46
189,35,40,69,stop,105,0,0,2025-01-31T01:39:13
190,35,8,103,pause,477,0,0,2025-01-31T01:36:12
191,35,31,108,resume,826,0,0,2025-01-31T01:33:03
192,36,4,41,start,614,0,0,2025-12-08T01:14:22
193,36,29,47,resume,807,0,0,2025-12-08T00:59:43
194,36,44,187,stop,143,4,3,2025-12-08T00:30:44
195,37,5,67,resume,22,0,0,2025-01-18T07:06:13
196,37,37,186,resume,695,0,0,2025-01-18T07:07:54
197,37,45,180,resume,453,0,0,2025-01-18T07:05:48
198,37,23,170,resume,404,2,4,2025-01-18T07:08:06
199,37,1,165,stop,527,0,0,2025-01-18T07:07:40
200,37,11,20,resume,338,0,0,2025-01-18T07:01:35
201,37,4,130,pause,668,0,0,2025-01-18T07:02:58
202,38,29,147,pause,887,4,3,2026-05-05T07:52:51
203,38,42,5,start,432,0,0,2026-05-05T07:40:31
204,38,6,155,stop,662,0,0,2026-05-05T07:52:21
205,38,14,168,resume,359,0,0,2026-05-05T07:54:56
206,39,30,85,resume,644,0,0,2025-11-09T08:03:34
207,40,8,25,resume,237,0,0,2026-05-09T09:11:15
208,40,41,75,resume,392,0,0,2026-05-09T09:49:44
209,40,11,127,start,744,4,0,2026-05-09T09:25:07
210,40,8,101,pause,854,2,5,2026-05-09T09:29:43
211,40,3,163,stop,612,0,0,2026-05-09T09:17:54
212,40,30,169,resume,526,0,0,2026-05-09T09:18:32
213,41,4,142,stop,868,5,3,2024-12-28T07:01:20
214,41,12,178,resume,758,0,0,2024-12-28T06:49:26
215,41,43,154,resume,339,5,3,2024-12-28T06:06:13
216,41,45,64,pause,361,0,0,2024-12-28T07:06:22
217,41,9,36,pause,726,0,0,2024-12-28T06:57:12
218,41,45,141,stop,738,0,0,2024-12-28T06:40:53
219,41,14,52,pause,741,0,0,2024-12-28T05:52:15
220,41,44,34,stop,675,0,0,2024-12-28T07:06:52
221,42,45,164,pause,128,0,0,2024-12-30T07:19:32
222,42,38,147,stop,737,0,0,2024-12-30T06:54:08
223,42,35,74,stop,442,0,0,2024-12-30T07:23:03
224,43,25,38,start,67,2,2,2026-02-16T00:27:23
225,43,19,175,pause,869,1,5,2026-02-16T00:29:36
226,43,35,9,pause,473,1,4,2026-02-16T00:35:03
227,43,15,191,resume,408,0,0,2026-02-15T23:54:04
228,43,45,74,resume,58,0,0,2026-02-16T00:38:51
229,43,44,81,stop,65,0,0,2026-02-15T23:39:28
230,43,40,114,resume,658,3,4,2026-02-16T00:14:09
231,43,47,50,pause,191,0,0,2026-02-16T00:42:33
232,43,12,189,resume,396,1,3,2026-02-15T23:56:46
233,44,38,66,start,487,2,0,2026-03-31T11:38:22
234,44,4,161,resume,687,0,0,2026-03-31T11:39:42
235,44,36,92,start,734,0,0,2026-03-31T11:39:51
236,44,12,134,start,527,2,3,2026-03-31T11:41:53
237,44,23,57,stop,689,0,0,2026-03-31T11:39:59
238,45,40,136,pause,584,1,0,2026-04-15T00:02:11
239,45,42,158,stop,259,0,0,2026-04-15T00:31:28
240,45,21,98,stop,126,0,0,2026-04-14T23:33:36
241,45,19,7,stop,851,0,0,2026-04-15T00:12:27
242,45,33,115,pause,313,0,0,2026-04-15T00:25:21
243,45,33,22,stop,181,5,4,2026-04-14T22:55:22
244,46,41,55,stop,444,1,1,2026-01-30T06:58:02
245,46,28,166,resume,83,0,0,2026-01-30T07:16:13
246,47,46,85,start,85,1,1,2026-02-18T16:16:38
247,47,37,59,stop,427,0,0,2026-02-18T16:04:52
248,47,28,81,start,699,0,0,2026-02-18T15:57:02
249,48,40,17,resume,609,0,0,2026-04-10T15:48:33
250,49,33,28,pause,712,0,0,2025-12-07T22:46:40
251,49,29,98,pause,686,1,3,2025-12-07T22:29:59
252,50,26,140,pause,659,2,2,2025-07-18T11:30:25
253,50,47,166,pause,21,0,0,2025-07-18T11:17:32
254,50,8,11,start,620,0,0,2025-07-18T11:00:58
255,50,6,79,pause,769,0,0,2025-07-18T11:53:57
256,51,42,132,start,198,2,4,2025-02-04T06:49:39
257,51,12,172,resume,882,1,4,2025-02-04T06:45:33
258,51,19,172,start,110,0,0,2025-02-04T06:42:39
259,51,22,92,start,681,0,0,2025-02-04T06:43:03
260,51,5,50,pause,471,3,4,2025-02-04T06:47:44
261,51,10,145,resume,837,0,0,2025-02-04T06:43:57
262,52,21,64,resume,739,4,2,2025-10-16T17:17:16
263,52,47,85,stop,483,4,2,2025-10-16T17:09:45
264,52,7,45,resume,93,0,0,2025-10-16T17:17:28
265,52,9,138,pause,761,0,0,2025-10-16T17:22:35
266,52,5,5,stop,656,1,4,2025-10-16T16:47:14
267,52,14,10,resume,566,0,0,2025-10-16T17:23:28
268,52,42,39,pause,238,0,0,2025-10-16T17:23:10
269,53,19,35,pause,532,0,0,2026-04-02T09:46:00
270,53,1,170,pause,835,0,0,2026-04-02T11:04:26
271,53,33,36,pause,193,0,0,2026-04-02T10:27:52
272,53,10,189,resume,377,0,0,2026-04-02T09:41:35
273,53,15,17,pause,249,0,0,2026-04-02T09:41:48
274,53,24,100,pause,475,1,0,2026-04-02T11:04:19
275,53,46,134,resume,290,0,0,2026-04-02T10:51:30
276,53,35,146,pause,679,4,2,2026-04-02T10:29:44
277,53,5,133,pause,238,0,0,2026-04-02T10:23:28
278,53,23,125,resume,628,0,0,2026-04-02T09:38:36
279,54,15,20,resume,297,0,0,2026-03-13T17:32:13
280,54,24,155,resume,131,2,3,2026-03-13T18:00:24
281,54,31,173,pause,225,0,0,2026-03-13T17:50:03
282,55,3,33,resume,174,2,5,2026-01-29T21:26:56
283,55,10,15,start,194,0,0,2026-01-29T21:27:00
284,55,37,164,start,746,0,0,2026-01-29T21:31:14
285,55,6,56,pause,492,0,0,2026-01-29T21:34:01
286,55,27,154,start,606,2,4,2026-01-29T21:29:52
287,55,47,176,pause,474,5,4,2026-01-29T21:18:03
288,55,9,28,start,545,0,0,2026-01-29T21:33:52
289,56,10,156,start,497,0,0,2026-03-13T21:25:43
290,56,35,129,resume,105,0,0,2026-03-13T20:40:50
291,56,39,139,resume,803,4,4,2026-03-13T20:34:15
292,56,45,136,pause,831,0,0,2026-03-13T20:40:50
293,56,23,151,resume,789,0,0,2026-03-13T21:18:49
294,56,28,35,pause,794,0,0,2026-03-13T20:14:07
295,56,19,154,stop,428,0,0,2026-03-13T20:16:50
296,56,1,148,resume,542,1,3,2026-03-13T20:59:17
297,56,21,105,pause,168,0,0,2026-03-13T20:34:50
298,57,35,109,resume,636,3,5,2026-04-16T17:38:11
299,57,36,143,pause,389,5,4,2026-04-16T17:42:40
300,57,37,89,resume,417,0,0,2026-04-16T17:55:46
301,57,43,31,resume,467,0,0,2026-04-16T17:58:14
302,57,7,55,resume,814,0,0,2026-04-16T17:35:06
303,57,45,176,resume,174,0,0,2026-04-16T17:37:45
304,57,6,38,pause,624,0,0,2026-04-16T17:40:09
305,57,15,95,start,48,4,3,2026-04-16T17:49:26
306,57,46,153,start,802,0,0,2026-04-16T18:00:10
307,57,29,3,pause,682,0,0,2026-04-16T18:05:54
308,58,3,154,resume,725,2,4,2026-04-06T19:06:54
309,58,16,168,start,171,1,2,2026-04-06T19:43:30
310,58,26,104,resume,540,0,0,2026-04-06T18:57:39
311,58,6,141,pause,859,0,0,2026-04-06T19:30:16
312,58,23,71,pause,209,0,0,2026-04-06T19:24:01
313,58,1,67,pause,528,0,0,2026-04-06T19:03:07
314,58,19,88,stop,832,5,2,2026-04-06T19:49:18
315,58,37,65,resume,396,0,0,2026-04-06T19:30:31
316,58,22,118,resume,610,0,0,2026-04-06T19:48:27
317,59,5,98,resume,235,2,2,2026-05-01T22:36:50
318,59,35,3,resume,279,0,0,2026-05-01T22:17:28
319,59,44,192,resume,87,5,1,2026-05-01T22:44:25
320,59,37,69,pause,774,0,0,2026-05-01T23:08:47
321,59,32,189,pause,763,0,0,2026-05-01T22:16:44
322,59,15,52,stop,866,5,2,2026-05-01T22:06:35
323,59,6,174,stop,514,5,0,2026-05-01T23:18:21
324,59,3,124,pause,332,0,0,2026-05-01T22:46:16
325,60,32,47,stop,533,0,0,2026-04-11T23:24:51
326,60,37,33,start,828,4,3,2026-04-12T00:30:47
327,60,23,101,stop,804,2,3,2026-04-12T00:34:29
328,60,30,81,resume,22,0,0,2026-04-12T00:04:14
329,60,7,84,pause,892,0,0,2026-04-11T23:22:48
330,60,16,69,pause,637,0,0,2026-04-11T23:31:08
331,60,28,54,pause,780,3,2,2026-04-12T00:22:15
332,60,12,147,start,599,2,0,2026-04-12T00:08:54
333,60,36,111,stop,210,0,0,2026-04-11T23:11:25
334,60,10,122,resume,190,0,0,2026-04-11T23:38:59
335,61,41,133,resume,333,0,0,2026-03-30T03:44:43
336,61,36,146,start,111,0,0,2026-03-30T03:38:56
337,61,17,122,stop,108,4,5,2026-03-30T03:17:13
338,62,36,66,pause,431,0,0,2026-01-24T23:01:47
339,62,39,51,resume,675,0,0,2026-01-25T00:04:36
340,62,19,91,pause,532,4,5,2026-01-24T23:40:33
341,62,40,74,pause,158,2,5,2026-01-25T00:23:29
342,62,41,157,resume,879,0,0,2026-01-25T00:35:18
343,62,22,59,pause,678,3,5,2026-01-24T23:19:11
344,63,29,93,resume,543,4,3,2026-02-18T14:20:37
345,63,9,187,pause,267,0,0,2026-02-18T15:02:22
346,63,6,54,pause,115,0,0,2026-02-18T14:16:44
347,63,31,141,start,799,0,0,2026-02-18T14:33:01
348,63,6,27,pause,169,0,0,2026-02-18T14:16:08
349,63,25,80,pause,765,0,0,2026-02-18T14:26:55
350,63,9,135,stop,39,0,0,2026-02-18T14:13:28
351,64,21,122,pause,563,0,0,2026-02-14T02:46:56
352,64,9,179,resume,615,0,0,2026-02-14T02:30:45
353,64,41,145,pause,665,0,0,2026-02-14T02:32:45
354,64,23,124,resume,834,0,0,2026-02-14T02:06:21
355,64,27,67,start,20,0,0,2026-02-14T02:02:04
356,64,9,89,pause,557,0,0,2026-02-14T02:02:27
357,65,31,77,start,450,0,0,2026-01-13T21:37:25
358,65,1,141,pause,431,0,0,2026-01-13T21:39:47
359,65,16,42,resume,671,0,0,2026-01-13T21:25:59
360,65,17,21,pause,255,0,0,2026-01-13T21:29:32
361,65,40,178,resume,301,0,0,2026-01-13T21:33:14
362,65,18,106,pause,80,0,0,2026-01-13T21:20:11
363,65,41,117,resume,288,5,3,2026-01-13T21:20:20
364,65,4,137,start,114,3,2,2026-01-13T21:18:35
365,66,15,24,start,515,0,0,2026-03-08T02:42:29
366,66,32,96,pause,820,0,0,2026-03-08T02:29:52
367,66,10,15,pause,411,1,4,2026-03-08T02:59:41
368,66,17,98,resume,134,2,3,2026-03-08T03:20:09
369,66,3,51,pause,799,0,0,2026-03-08T02:34:06
370,66,14,122,pause,329,0,0,2026-03-08T03:31:22
371,66,47,11,resume,572,5,0,2026-03-08T02:44:56
372,66,13,93,stop,894,0,0,2026-03-08T03:13:03
373,67,28,84,start,823,3,4,2026-04-30T03:51:53
374,67,1,11,resume,717,0,0,2026-04-30T04:10:22
375,68,6,64,start,103,5,2,2026-05-27T18:20:37
376,68,41,16,start,670,0,0,2026-05-27T16:57:29
377,68,7,33,pause,334,0,0,2026-05-27T18:26:03
378,68,23,113,resume,31,0,0,2026-05-27T17:54:45
379,68,9,65,stop,506,0,0,2026-05-27T17:56:37
380,68,35,179,pause,590,0,0,2026-05-27T17:00:59
381,68,47,120,pause,861,0,0,2026-05-27T17:45:04
382,68,11,18,resume,470,0,0,2026-05-27T17:12:39
383,68,24,117,start,663,5,3,2026-05-27T17:59:31
384,68,40,94,resume,254,0,0,2026-05-27T17:15:19
385,69,35,100,pause,709,0,0,2026-05-26T01:12:30
386,69,40,73,pause,666,0,0,2026-05-26T01:00:02
387,70,5,12,stop,142,0,0,2026-05-10T07:28:25
388,70,7,125,pause,42,5,5,2026-05-10T07:54:03
389,71,45,152,pause,385,0,0,2026-05-27T17:13:49
390,71,1,54,resume,862,0,0,2026-05-27T16:58:45
391,71,4,93,resume,435,0,0,2026-05-27T18:18:09
392,71,4,158,pause,51,0,0,2026-05-27T18:08:46
393,71,5,56,stop,109,0,0,2026-05-27T17:01:01
394,71,25,49,pause,682,2,4,2026-05-27T17:57:06
395,71,36,107,resume,794,5,2,2026-05-27T18:02:22
396,71,28,27,pause,194,0,0,2026-05-27T17:49:02
397,72,11,137,stop,463,0,0,2026-05-09T20:03:34
398,72,36,84,stop,432,0,0,2026-05-09T20:01:01
399,72,47,83,resume,586,0,0,2026-05-09T19:57:45
400,72,36,191,pause,473,0,0,2026-05-09T19:56:16
401,72,47,9,stop,620,0,0,2026-05-09T19:49:48
402,72,20,2,pause,237,2,2,2026-05-09T19:49:53
403,72,45,71,stop,533,0,0,2026-05-09T19:57:54
404,72,10,25,start,374,0,0,2026-05-09T19:51:54
405,72,38,64,pause,840,3,0,2026-05-09T19:58:07
406,73,47,20,resume,821,0,0,2026-04-29T12:25:13
407,73,45,180,resume,107,0,0,2026-04-29T12:36:15
408,73,47,148,pause,808,0,0,2026-04-29T11:43:24
409,73,23,112,pause,898,0,0,2026-04-29T11:49:44
410,73,42,155,stop,659,0,0,2026-04-29T12:54:07
411,73,20,135,start,562,0,0,2026-04-29T12:33:17
412,73,45,57,start,699,0,0,2026-04-29T12:49:37
413,73,29,193,resume,526,0,0,2026-04-29T11:46:45
414,73,26,38,start,94,0,0,2026-04-29T12:24:34
415,73,36,103,pause,418,0,0,2026-04-29T12:27:06
416,74,31,144,pause,414,0,0,2026-05-02T14:36:30
417,74,40,189,resume,258,1,2,2026-05-02T14:43:51
418,74,37,23,start,433,0,0,2026-05-02T14:23:01
419,75,23,153,resume,798,3,1,2026-05-04T16:44:02
420,75,29,160,start,55,0,0,2026-05-04T16:40:14
421,75,44,96,start,755,1,0,2026-05-04T16:29:09
422,75,40,38,stop,849,3,0,2026-05-04T16:05:22
423,75,20,116,pause,349,0,0,2026-05-04T15:57:19
424,75,14,140,resume,274,0,0,2026-05-04T16:17:42
425,76,10,178,resume,28,0,0,2026-04-04T21:00:40
426,76,34,12,pause,71,0,0,2026-04-04T20:53:05
427,76,40,70,start,680,0,0,2026-04-04T21:47:18
428,76,43,70,resume,685,3,0,2026-04-04T20:31:21
429,76,42,99,pause,399,0,0,2026-04-04T21:11:30
430,76,21,125,stop,554,0,0,2026-04-04T20:37:01
431,76,30,144,stop,32,1,1,2026-04-04T21:45:25
432,76,32,101,resume,28,0,0,2026-04-04T20:58:14
433,76,41,78,pause,523,0,0,2026-04-04T20:52:25
434,76,17,100,stop,844,1,4,2026-04-04T21:47:37
435,77,26,169,start,757,4,4,2024-09-26T11:09:01
436,77,41,176,pause,256,0,0,2024-09-26T10:40:19
437,77,20,155,pause,565,0,0,2024-09-26T10:07:41
438,77,38,139,resume,217,0,0,2024-09-26T11:01:45
439,78,34,35,pause,798,0,0,2025-02-05T12:21:53
440,78,11,82,start,555,0,0,2025-02-05T12:55:38
441,78,21,38,resume,793,3,3,2025-02-05T12:56:10
442,78,41,190,pause,807,0,0,2025-02-05T12:23:41
443,78,2,157,resume,630,5,4,2025-02-05T12:25:29
444,79,2,92,start,808,4,1,2024-10-03T01:17:50
445,79,46,167,pause,882,0,0,2024-10-03T01:12:33
446,79,11,50,pause,428,0,0,2024-10-03T01:29:54
447,79,18,106,pause,697,2,1,2024-10-03T00:57:46
448,80,32,177,pause,478,0,0,2025-09-19T00:24:41
449,80,3,156,resume,399,0,0,2025-09-19T00:22:11
450,80,37,153,resume,666,0,0,2025-09-19T00:24:31
451,80,34,28,pause,856,0,0,2025-09-19T00:24:32
452,80,16,133,resume,762,0,0,2025-09-19T00:11:58
453,80,41,13,pause,460,0,0,2025-09-19T00:17:21
454,80,19,119,start,311,0,0,2025-09-19T00:20:34
455,80,34,37,pause,671,4,0,2025-09-19T00:22:13
456,81,38,179,resume,412,4,2,2026-01-13T03:33:44
457,81,38,183,stop,475,1,2,2026-01-13T03:27:54
458,82,8,24,start,470,0,0,2025-06-22T22:21:22
459,82,46,99,resume,533,5,1,2025-06-22T22:10:08
460,82,11,86,resume,685,0,0,2025-06-22T22:31:26
461,83,12,183,start,325,0,0,2026-06-02T05:53:57
462,83,29,74,resume,130,0,0,2026-06-02T06:30:28
463,83,1,160,resume,22,0,0,2026-06-02T06:03:12
464,84,1,156,stop,253,0,0,2025-10-30T18:02:20
465,84,30,105,pause,625,0,0,2025-10-30T18:33:45
