attempt_id,session_id,question_id,answer_chosen,correct,time_spent_seconds,timestamp,asked_for_help,help_type,audio_replays,audio_interrupts,selected_awnser
122,28,50,200,True,102,2025-09-20T07:27:00,False,,0,0,C
123,28,15,57,False,8,2025-09-20T07:27:25,False,,0,0,C
124,28,13,50,True,281,2025-09-20T07:35:00,False,,1,3,C
125,28,29,113,True,241,2025-09-20T07:23:27,False,,3,3,A
126,28,12,48,True,119,2025-09-20T07:34:31,True,example,0,0,D
127,28,42,168,False,275,2025-09-20T07:24:43,True,explain,0,0,D
128,28,23,90,True,126,2025-09-20T07:35:53,False,,0,0,B
129,28,45,177,True,190,2025-09-20T07:34:55,True,example,0,0,A
130,29,36,143,True,113,2025-08-08T07:00:27,False,,0,0,D
131,29,32,125,True,27,2025-08-08T06:01:57,False,,0,0,C
132,29,23,92,False,108,2025-08-08T06:54:20,False,,0,0,C
133,29,43,172,True,8,2025-08-08T06:20:16,False,,0,0,D
134,29,1,1,True,98,2025-08-08T06:08:08,True,example,0,0,B
135,29,49,193,True,38,2025-08-08T05:36:34,False,,0,0,D
136,30,2,5,False,117,2025-05-30T12:33:05,False,,0,0,A
137,30,5,17,True,39,2025-05-30T12:35:02,False,,0,0,A
138,30,13,51,False,91,2025-05-30T12:33:54,True,explain,0,0,D
139,30,32,126,False,242,2025-05-30T12:30:22,False,,4,1,A
140,30,22,87,True,19,2025-05-30T12:37:50,True,explain,0,0,B
141,30,39,154,True,90,2025-05-30T12:30:30,False,,0,0,C
142,30,8,31,False,296,2025-05-30T12:37:34,False,,0,0,D
143,30,47,187,True,29,2025-05-30T12:33:37,False,,0,0,A
144,31,18,71,False,247,2025-01-09T12:42:26,False,,0,0,A
145,31,47,187,True,235,2025-01-09T13:14:08,False,,0,0,C
146,31,39,154,True,162,2025-01-09T12:43:34,False,,0,0,B
147,31,39,154,True,95,2025-01-09T12:49:13,False,,0,0,A
148,31,40,160,True,223,2025-01-09T13:01:23,False,,0,0,A
149,31,32,125,True,299,2025-01-09T12:42:26,True,explain,0,0,B
150,33,16,63,False,25,2026-02-09T05:07:29,False,,0,0,D
151,33,33,132,False,196,2026-02-09T05:06:36,False,,0,0,C
152,33,12,48,True,146,2026-02-09T05:12:02,False,,4,2,D
153,34,12,48,True,105,2025-01-25T17:25:20,True,explain,0,0,A
154,34,37,145,False,118,2025-01-25T17:03:19,False,,4,3,C
155,34,1,4,False,229,2025-01-25T17:34:09,False,,0,0,A
156,34,31,122,False,293,2025-01-25T17:02:55,False,,0,0,C
157,34,9,34,False,168,2025-01-25T17:16:26,False,,0,0,B
158,34,45,177,True,21,2025-01-25T18:25:24,False,,0,0,B
159,34,30,117,True,101,2025-01-25T17:34:54,False,,0,0,C
160,34,23,89,False,136,2025-01-25T17:15:27,False,,0,0,A
161,35,51,201,True,279,2025-01-31T01:37:30,False,,0,0,A
162,35,49,193,True,59,2025-01-31T01:29:51,False,,0,0,A
163,35,10,40,False,138,2025-01-31T01:46:43,True,explain,0,0,C
164,35,10,38,True,273,2025-01-31T01:52:02,False,,4,0,B
165,35,49,196,False,194,2025-01-31T01:41:29,False,,0,0,C
166,35,20,80,False,50,2025-01-31T01:37:47,False,,4,0,B
167,36,26,103,True,215,2025-12-08T00:51:11,False,,0,0,B
168,36,20,78,False,150,2025-12-08T01:06:31,False,,0,0,B
169,36,12,45,False,133,2025-12-08T01:50:59,True,example,0,0,B
170,36,16,62,True,47,2025-12-08T01:46:00,True,hint,0,0,C
171,37,25,100,False,137,2025-01-18T07:03:54,False,,0,0,A
172,37,4,14,True,274,2025-01-18T07:07:42,False,,0,0,A
173,37,37,147,False,102,2025-01-18T07:02:33,True,hint,3,0,B
174,39,41,164,True,201,2025-11-09T07:57:36,True,example,0,0,C
175,39,43,171,False,176,2025-11-09T07:40:28,False,,0,0,B
176,40,28,111,True,179,2026-05-09T10:05:03,False,,1,2,D
177,40,21,82,True,55,2026-05-09T09:47:49,False,,0,0,D
178,40,37,146,True,160,2026-05-09T09:43:43,False,,2,0,A
179,41,11,43,True,153,2024-12-28T05:32:35,False,,0,0,A
180,42,33,132,False,300,2024-12-30T07:06:14,False,,0,0,A
181,43,27,107,True,88,2026-02-16T00:31:59,False,,0,0,A
182,43,20,77,False,264,2026-02-16T00:20:39,True,example,3,3,D
183,43,40,160,True,80,2026-02-16T00:08:45,False,,0,0,A
184,43,25,99,True,57,2026-02-16T00:37:59,False,,0,0,C
185,44,37,146,True,81,2026-03-31T11:43:28,False,,1,0,A
186,44,34,133,True,188,2026-03-31T11:40:37,True,example,2,1,C
187,44,17,65,False,80,2026-03-31T11:44:55,True,example,0,0,C
188,44,26,103,True,85,2026-03-31T11:37:05,False,,0,0,B
189,45,49,194,False,222,2026-04-14T23:39:10,False,,1,3,D
190,45,20,80,False,106,2026-04-15T00:00:27,False,,0,0,D
191,45,28,110,False,281,2026-04-15T00:05:24,False,,0,0,D
192,45,9,33,True,96,2026-04-15T00:14:46,False,,0,0,A
193,45,14,54,False,14,2026-04-15T00:04:06,True,example,0,0,D
194,46,30,118,False,98,2026-01-30T06:48:51,False,,0,0,C
195,46,28,112,False,111,2026-01-30T07:02:53,False,,0,0,D
196,47,49,194,False,168,2026-02-18T16:13:53,False,,0,0,B
197,47,7,25,False,266,2026-02-18T16:10:20,False,,0,0,D
198,47,43,172,True,223,2026-02-18T16:08:34,False,,0,0,D
199,47,48,191,False,123,2026-02-18T16:03:49,False,,4,1,A
200,47,39,154,True,46,2026-02-18T16:14:39,False,,2,0,B
201,47,20,80,False,8,2026-02-18T16:17:15,False,,1,3,D
202,48,36,143,True,300,2026-04-10T16:11:41,True,explain,0,0,B
203,48,30,117,True,217,2026-04-10T15:51:50,False,,0,0,A
204,48,1,4,False,136,2026-04-10T16:09:21,False,,0,0,C
205,48,11,43,True,177,2026-04-10T15:50:50,False,,0,0,B
206,48,48,190,True,54,2026-04-10T16:10:33,False,,0,0,B
207,49,48,189,False,215,2025-12-07T23:09:16,True,explain,1,1,D
208,49,49,193,True,176,2025-12-07T23:36:25,False,,0,0,C
209,49,16,62,True,138,2025-12-07T22:27:27,True,example,4,3,A
210,49,13,52,False,284,2025-12-07T22:24:54,False,,1,3,A
211,49,34,136,False,122,2025-12-07T22:52:38,False,,0,0,C
212,50,48,190,True,66,2025-07-18T10:27:19,False,,0,0,B
213,50,21,83,False,259,2025-07-18T11:52:39,False,,2,0,A
214,50,14,55,True,278,2025-07-18T11:12:23,False,,0,0,B
215,50,4,16,False,137,2025-07-18T11:30:00,False,,0,0,A
216,50,35,139,True,218,2025-07-18T10:50:57,True,explain,1,0,A
217,50,33,130,True,17,2025-07-18T11:16:33,True,explain,0,0,A
218,50,17,65,False,286,2025-07-18T11:08:55,True,explain,0,0,B
219,51,19,75,True,10,2025-02-04T06:42:47,False,,0,0,B
220,51,18,72,True,135,2025-02-04T06:42:49,False,,0,0,B
221,52,7,27,True,28,2025-10-16T17:13:13,False,,3,3,A
222,52,41,164,True,177,2025-10-16T16:22:48,True,example,4,2,B
223,52,31,121,False,70,2025-10-16T16:58:45,True,example,0,0,C
224,52,45,177,True,44,2025-10-16T17:02:24,False,,0,0,D
225,53,30,117,True,194,2026-04-02T10:54:07,False,,0,0,B
226,53,30,118,False,279,2026-04-02T09:45:25,False,,0,0,B
227,53,42,167,True,264,2026-04-02T10:19:58,False,,1,2,C
228,53,17,66,True,48,2026-04-02T10:34:48,True,explain,0,0,B
229,53,35,139,True,211,2026-04-02T10:46:34,False,,0,0,A
230,53,41,162,False,168,2026-04-02T10:22:54,False,,0,0,B
231,53,7,28,False,127,2026-04-02T10:36:15,False,,0,0,B
232,53,18,71,False,125,2026-04-02T10:29:23,True,explain,1,2,C
233,55,21,83,False,32,2026-01-29T21:31:27,False,,1,2,B
234,55,43,172,True,182,2026-01-29T21:23:51,False,,0,0,C
235,55,49,193,True,23,2026-01-29T21:25:41,False,,0,0,D
236,55,45,180,False,89,2026-01-29T21:29:34,False,,0,0,B
237,55,7,25,False,238,2026-01-29T21:32:16,False,,0,0,A
238,55,2,8,False,39,2026-01-29T21:36:25,False,,0,0,B
239,56,45,177,True,12,2026-03-13T21:24:44,False,,0,0,C
240,56,2,6,False,214,2026-03-13T20:40:58,True,example,0,0,D
241,56,18,72,True,154,2026-03-13T20:21:24,False,,4,0,C
242,56,27,107,True,65,2026-03-13T20:42:58,False,,0,0,D
243,58,21,82,True,155,2026-04-06T19:10:10,False,,0,0,A
244,58,9,33,True,276,2026-04-06T19:30:42,False,,0,0,D
245,58,17,66,True,34,2026-04-06T19:12:22,False,,0,0,B
246,59,30,117,True,298,2026-05-01T22:07:09,False,,0,0,D
247,59,34,133,True,266,2026-05-01T22:38:27,True,explain,2,1,B
248,59,17,68,False,195,2026-05-01T21:59:37,True,hint,0,0,B
249,59,39,154,True,130,2026-05-01T22:20:11,False,,4,2,B
250,59,10,38,True,245,2026-05-01T22:23:06,False,,0,0,C
251,59,9,33,True,42,2026-05-01T23:25:08,False,,3,0,A
252,59,2,7,True,255,2026-05-01T22:00:16,True,example,0,0,D
253,59,14,55,True,70,2026-05-01T22:09:00,False,,0,0,C
254,60,28,110,False,130,2026-04-12T00:11:39,True,explain,0,0,B
255,60,43,172,True,214,2026-04-11T23:07:42,False,,3,2,C
256,60,27,105,False,173,2026-04-11T23:28:17,False,,0,0,D
257,60,21,82,True,70,2026-04-12T00:08:49,False,,0,0,C
258,62,40,160,True,98,2026-01-25T00:22:27,True,hint,0,0,B
259,62,24,96,True,110,2026-01-25T00:40:17,False,,0,0,C
260,62,11,43,True,258,2026-01-24T23:24:59,False,,0,0,D
261,62,33,130,True,189,2026-01-24T23:18:13,False,,0,0,C
262,62,23,90,True,252,2026-01-24T23:17:29,False,,0,0,C
263,62,17,65,False,223,2026-01-24T23:20:57,False,,1,0,D
264,62,37,146,True,284,2026-01-24T23:39:03,True,example,0,0,D
265,62,24,94,False,121,2026-01-25T00:20:48,False,,0,0,C
266,63,25,99,True,16,2026-02-18T14:59:25,False,,3,0,D
267,63,24,96,True,227,2026-02-18T14:13:56,True,explain,0,0,A
268,63,40,157,False,134,2026-02-18T14:36:53,False,,4,1,D
269,63,24,93,False,156,2026-02-18T14:22:27,False,,0,0,D
270,65,4,14,True,157,2026-01-13T21:21:59,True,example,0,0,C
271,65,10,38,True,129,2026-01-13T21:27:02,False,,4,2,D
272,65,22,86,False,186,2026-01-13T21:34:59,False,,0,0,C
273,66,8,29,True,257,2026-03-08T03:15:58,False,,0,0,C
274,66,43,170,False,275,2026-03-08T02:43:15,False,,0,0,B
275,66,18,69,False,111,2026-03-08T02:54:31,False,,2,3,D
276,66,27,106,False,146,2026-03-08T03:34:15,True,explain,0,0,D
277,66,24,96,True,123,2026-03-08T03:02:01,False,,0,0,A
278,66,23,90,True,72,2026-03-08T03:03:53,False,,0,0,B
279,66,50,200,True,91,2026-03-08T03:21:39,True,example,0,0,B
280,67,27,107,True,112,2026-04-30T04:02:13,False,,3,1,B
281,67,30,117,True,271,2026-04-30T04:35:45,False,,0,0,D
282,67,38,149,True,11,2026-04-30T03:52:50,False,,1,3,D
283,67,5,17,True,272,2026-04-30T04:05:42,False,,0,0,D
284,67,22,87,True,187,2026-04-30T04:10:26,False,,1,0,C
285,67,36,143,True,237,2026-04-30T03:57:12,True,example,3,0,D
286,67,15,60,True,71,2026-04-30T04:17:30,False,,2,2,A
287,68,4,13,False,237,2026-05-27T17:52:41,False,,0,0,C
288,68,45,177,True,14,2026-05-27T16:41:02,False,,0,0,A
289,68,12,48,True,85,2026-05-27T18:21:59,False,,1,2,C
290,68,39,156,False,216,2026-05-27T18:03:39,True,hint,0,0,B
291,69,21,84,False,242,2026-05-26T01:44:21,True,hint,0,0,D
292,69,51,201,True,12,2026-05-26T01:35:20,False,,1,3,A
293,69,19,74,False,91,2026-05-26T01:44:58,False,,0,0,C
294,70,2,7,True,183,2026-05-10T07:41:33,False,,0,0,D
295,71,35,139,True,299,2026-05-27T18:10:46,False,,0,0,C
296,71,19,75,True,132,2026-05-27T17:32:01,False,,3,3,B
297,71,33,130,True,68,2026-05-27T17:21:01,False,,2,0,C
298,71,15,58,False,170,2026-05-27T18:27:55,False,,0,0,C
299,71,10,38,True,104,2026-05-27T18:29:36,False,,0,0,B
300,72,51,204,False,198,2026-05-09T19:56:18,True,hint,0,0,D
301,72,44,175,True,189,2026-05-09T19:57:33,False,,0,0,D
302,72,5,18,False,228,2026-05-09T19:56:25,False,,2,3,C
303,72,33,130,True,235,2026-05-09T19:57:38,False,,0,0,C
304,73,4,14,True,113,2026-04-29T13:04:03,False,,0,0,A
305,73,18,72,True,137,2026-04-29T13:14:11,False,,0,0,D
306,73,18,72,True,107,2026-04-29T12:16:03,False,,1,3,C
307,74,12,47,False,76,2026-05-02T14:42:41,False,,0,0,B
308,74,47,187,True,259,2026-05-02T14:04:59,False,,0,0,C
309,74,31,121,False,132,2026-05-02T13:58:19,False,,3,3,C
310,74,8,29,True,97,2026-05-02T14:18:07,False,,0,0,D
311,74,1,1,True,175,2026-05-02T14:52:07,False,,0,0,B
312,74,39,154,True,142,2026-05-02T14:02:21,False,,2,3,C
313,75,33,130,True,232,2026-05-04T16:36:43,True,explain,0,0,A
314,75,3,11,True,198,2026-05-04T15:50:44,False,,0,0,C
315,75,16,61,False,147,2026-05-04T16:28:46,False,,0,0,A
316,76,19,75,True,200,2026-04-04T20:49:20,False,,4,3,B
317,76,23,92,False,159,2026-04-04T21:38:03,False,,0,0,C
318,76,24,94,False,273,2026-04-04T20:42:02,False,,0,0,D
319,76,18,72,True,37,2026-04-04T20:50:21,False,,0,0,D
320,76,14,56,False,47,2026-04-04T21:21:42,True,hint,0,0,B
321,76,37,148,False,86,2026-04-04T20:39:51,False,,0,0,A
322,76,45,178,False,75,2026-04-04T21:24:04,True,hint,0,0,C
323,77,17,67,False,252,2024-09-26T10:03:11,False,,0,0,C
324,77,30,117,True,156,2024-09-26T10:21:17,True,example,0,0,B
325,77,7,27,True,210,2024-09-26T10:34:18,False,,0,0,D
326,77,26,102,False,202,2024-09-26T10:27:35,False,,0,0,C
327,78,3,11,True,180,2025-02-05T12:51:29,False,,2,3,C
328,78,21,81,False,36,2025-02-05T12:27:52,False,,0,0,D
329,78,38,149,True,244,2025-02-05T12:30:56,False,,0,0,C
330,78,1,1,True,217,2025-02-05T12:53:11,True,hint,0,0,D
331,78,15,60,True,146,2025-02-05T12:17:15,False,,0,0,D
332,78,9,33,True,24,2025-02-05T12:26:07,False,,1,2,B
333,78,6,22,True,127,2025-02-05T12:25:57,True,hint,0,0,A
334,79,33,130,True,133,2024-10-03T01:17:48,False,,0,0,C
335,80,21,82,True,296,2025-09-19T00:17:16,False,,0,0,C
336,80,13,50,True,182,2025-09-19T00:18:12,True,example,0,0,B
337,80,29,116,False,261,2025-09-19T00:18:13,False,,1,1,C
338,80,26,104,False,131,2025-09-19T00:21:14,False,,0,0,B
339,80,35,140,False,280,2025-09-19T00:17:56,False,,0,0,C
340,81,35,138,False,203,2026-01-13T03:54:34,False,,0,0,A
341,82,48,190,True,161,2025-06-22T22:21:22,False,,0,0,D
342,83,26,104,False,150,2026-06-02T05:43:17,False,,0,0,C
343,83,32,127,False,251,2026-06-02T06:09:46,False,,1,0,A
344,84,32,128,False,165,2025-10-30T18:54:44,False,,0,0,B
345,84,13,50,True,70,2025-10-30T17:54:44,False,,3,0,A
346,85,47,185,False,143,2025-12-01T04:52:27,False,,0,0,B
347,85,7,27,True,125,2025-12-01T05:10:10,True,example,0,0,C
348,85,10,38,True,170,2025-12-01T04:35:30,True,example,0,0,A
349,85,1,1,True,274,2025-12-01T05:32:52,False,,0,0,A
350,86,4,14,True,102,2026-05-10T22:32:13,False,,0,0,C
351,86,18,72,True,131,2026-05-10T22:43:21,True,example,0,0,A
352,86,41,163,False,243,2026-05-10T21:49:14,False,,0,0,C
353,86,20,77,False,11,2026-05-10T22:15:24,False,,1,1,B
354,87,16,61,False,255,2024-12-13T06:41:34,False,,0,0,B
355,87,23,90,True,229,2024-12-13T06:09:16,False,,0,0,C
356,87,15,60,True,59,2024-12-13T06:24:13,False,,0,0,A
357,87,25,99,True,131,2024-12-13T06:51:22,True,example,0,0,B
358,87,12,48,True,40,2024-12-13T06:29:35,False,,0,0,A
359,88,15,60,True,246,2025-08-22T16:58:18,False,,0,0,C
360,88,19,74,False,294,2025-08-22T16:24:49,False,,2,0,B
361,88,8,30,False,231,2025-08-22T16:41:42,False,,2,2,C
362,89,6,21,False,50,2024-10-10T15:06:33,False,,2,1,A
363,89,46,181,True,28,2024-10-10T14:46:06,False,,0,0,C
364,89,13,50,True,153,2024-10-10T14:58:12,False,,0,0,B
365,89,37,147,False,134,2024-10-10T14:53:08,False,,0,0,A
366,89,30,117,True,231,2024-10-10T15:05:25,False,,0,0,B
367,89,30,117,True,168,2024-10-10T15:18:40,False,,0,0,A
368,89,14,55,True,12,2024-10-10T14:48:03,True,hint,1,3,B
369,90,47,188,False,233,2026-01-11T03:41:54,False,,0,0,C
370,90,36,143,True,163,2026-01-11T03:42:42,False,,1,1,C
371,91,41,164,True,198,2026-05-14T16:40:20,False,,0,0,D
372,91,34,133,True,215,2026-05-14T17:17:41,False,,0,0,C
373,91,21,82,True,39,2026-05-14T17:25:48,True,example,0,0,C
374,91,47,186,False,202,2026-05-14T16:40:51,True,example,0,0,C
375,92,27,107,True,234,2025-09-14T21:44:06,False,,0,0,B
376,92,26,104,False,76,2025-09-14T20:28:03,True,example,0,0,B
377,92,9,33,True,250,2025-09-14T22:04:16,True,example,0,0,C
378,92,13,50,True,208,2025-09-14T21:05:44,False,,3,0,C
379,92,28,111,True,246,2025-09-14T20:23:10,True,hint,2,3,B
380,92,36,143,True,107,2025-09-14T20:59:46,True,hint,0,0,C
381,93,11,43,True,161,2025-09-18T21:07:08,False,,2,2,A
382,93,28,112,False,173,2025-09-18T20:48:39,False,,0,0,A
383,93,30,117,True,155,2025-09-18T21:16:19,False,,0,0,D
384,94,2,7,True,164,2025-06-30T10:55:42,False,,0,0,D
385,94,25,99,True,7,2025-06-30T11:26:57,False,,0,0,C
386,94,27,107,True,13,2025-06-30T11:14:27,False,,0,0,C
387,94,22,86,False,249,2025-06-30T11:36:18,False,,4,3,B
388,94,50,200,True,86,2025-06-30T11:11:00,False,,0,0,C
389,94,27,108,False,89,2025-06-30T11:09:49,False,,0,0,A
390,94,18,72,True,128,2025-06-30T10:51:32,False,,0,0,C
391,95,7,27,True,157,2025-01-03T01:40:42,False,,0,0,D
392,95,4,16,False,262,2025-01-03T01:53:33,True,explain,0,0,D
393,95,40,158,False,135,2025-01-03T01:58:06,False,,0,0,B
394,95,51,204,False,189,2025-01-03T01:09:44,False,,0,0,D
395,95,21,82,True,158,2025-01-03T01:21:07,False,,2,1,A
396,95,35,139,True,102,2025-01-03T01:20:48,False,,0,0,D
397,96,42,165,False,257,2026-02-27T18:02:59,False,,0,0,B
398,97,6,21,False,19,2025-06-30T16:14:48,False,,2,0,C
399,97,1,1,True,191,2025-06-30T16:21:15,True,hint,0,0,B
400,97,26,103,True,154,2025-06-30T17:14:15,False,,0,0,B
401,97,32,125,True,223,2025-06-30T16:49:48,True,hint,1,1,C
402,97,16,62,True,168,2025-06-30T16:42:30,False,,0,0,A
403,97,1,4,False,45,2025-06-30T17:30:00,True,explain,0,0,C
