ex_answer_id,ex_question_id,text,is_correct,order,audio_url
49,13,Pay paper partner others discuss ago bag sister care,False,1,
50,13,Light power contain hold listen clearly difficult impact why,True,2,
51,13,Wear development provide dark daughter computer,False,3,
52,13,Term majority foot leader east if among save herself fine particularly,False,4,
53,14,Order modern then skin minute later still amount yet,False,1,
54,14,Mrs worker always hold share,False,2,
55,14,Couple keep,True,3,
56,14,Similar experience coach family try ready tough less,False,4,
57,15,Bed may conference one thus national hotel food,False,1,
58,15,Condition opportunity Republican dark lawyer,False,2,
59,15,Food possible represent clearly,False,3,
60,15,Before relationship plant,True,4,
61,16,Model himself,False,1,
62,16,Partner civil nearly analysis color friend the television class certain shoulder anything,True,2,
63,16,Finally shoulder land phone,False,3,
64,16,Together whether about she activity marriage material,False,4,
65,17,Part management,False,1,
66,17,Open little improve bag outside each,True,2,
67,17,Everything pick star debate continue area give certainly allow official owner former because,False,3,
68,17,Indicate condition public,False,4,
69,18,Produce record occur no whom see growth along shoulder follow today star serve,False,1,
70,18,Assume likely business teacher forget including decide decade around number,False,2,
71,18,More because right painting small religious interview,False,3,
72,18,Employee offer perhaps until pass market role,True,4,
73,19,Manage conference participant remember without ability agency personal brother summer son yourself,False,1,
74,19,Animal glass south defense political real effort,False,2,
75,19,Film media food,True,3,
76,19,Box four how notice,False,4,
77,20,Story create street two look,False,1,
78,20,Something population loss physical throughout Mr friend six including sea strong federal,False,2,
79,20,New affect officer forward trouble,True,3,
80,20,At chance subject fund heart move coach paper,False,4,
81,21,Organization ten seem relate,False,1,
82,21,Report even beautiful theory he stop few modern company hear,True,2,
83,21,Sing tree,False,3,
84,21,Media sometimes toward child future low,False,4,
85,22,Financial force show better word might yeah day already hold ten,False,1,
86,22,About usually reach organization beautiful,False,2,
87,22,Threat billion she seat against serve police decide customer expert mother,True,3,
88,22,Provide evening church boy when nice bill my,False,4,
89,23,Five center region exist each author party full kitchen candidate likely,False,1,
90,23,Black approach interview condition other or,True,2,
91,23,Pattern fine stage require,False,3,
92,23,Bad type share nothing behavior sort recognize best,False,4,
93,24,Range report let discuss difference technology pay tree,False,1,
94,24,Contain true form team foot maintain assume,False,2,
95,24,Goal leave,False,3,
96,24,Executive give offer meet,True,4,
97,25,Stage someone for power society,False,1,
98,25,Leave opportunity draw during city,False,2,
99,25,Himself future sport opportunity six itself,True,3,
100,25,Name door production back us,False,4,
101,26,Student boy other foot best knowledge final image our rate others,False,1,
102,26,Force population article design catch oil,False,2,
103,26,Serious produce laugh,True,3,
104,26,Hope official crime race first,False,4,
105,27,Some quickly truth view response trip wrong old particularly member,False,1,
106,27,System artist too whose a nice,False,2,
107,27,Body executive all it,True,3,
108,27,Hour fish him high nation,False,4,
109,28,Little could his under style child young prove,False,1,
110,28,Activity possible century those price window career,False,2,
111,28,Politics indeed lay smile page,True,3,
112,28,Perhaps lawyer interest star his difficult,False,4,
113,29,Painting official suggest door maybe,True,1,
114,29,Unit office almost also low happy,False,2,
115,29,Loss real center rule worker worker,False,3,
116,29,Let back three,False,4,
117,30,Early piece professional protect range much often,True,1,
118,30,Apply gas sing light mention light safe inside whether,False,2,
119,30,Eye along type see risk nor article list,False,3,
120,30,Of prevent factor say,False,4,
121,31,Expert bar measure surface everyone,False,1,
122,31,Past every either scientist page travel,False,2,
123,31,Process have compare,False,3,
124,31,Machine son television garden base certain,True,4,
125,32,Study sell include himself,True,1,
126,32,Rise cold official success approach enough standard apply less,False,2,
127,32,Feeling second sell mouth here relationship listen certain that activity,False,3,
128,32,High firm morning what best most government such particular present,False,4,
129,33,Friend environment better pressure hospital significant see same open,False,1,
130,33,Mind question year finish action,True,2,
131,33,Story activity best,False,3,
132,33,Rate goal rise edge alone people,False,4,
133,34,Voice prevent,True,1,
134,34,Wear point remain build task candidate prevent,False,2,
135,34,Sort continue book contain far produce away law yet,False,3,
136,34,Realize property show either sit everyone artist home you election,False,4,
137,35,Concern attorney woman customer hotel population board,False,1,
138,35,Shoulder despite poor tree resource billion authority,False,2,
139,35,Road since affect marriage present a also,True,3,
140,35,Entire record toward off middle vote make job such,False,4,
141,36,Music about west stand lot,False,1,
142,36,Movement yard four field area young positive,False,2,
143,36,Movement which ball least short,True,3,
144,36,Computer always his,False,4,
145,37,Federal hope blood read main,False,1,
146,37,Just country along agent you draw home society poor matter who,True,2,
147,37,Whom administration fund front return if deep president mission vote thank,False,3,
148,37,Chance often under already center president,False,4,
149,38,Trade peace drug possible add plan,True,1,
150,38,Star best particularly structure ask stage box organization past,False,2,
151,38,Source international specific word question food,False,3,
152,38,National focus who degree animal community as event serious,False,4,
153,39,Recent network just understand American beyond suggest,False,1,
154,39,Heavy citizen they ball account unit religious order exist,True,2,
155,39,Realize deal policy mission include visit particular,False,3,
156,39,Other response partner because step,False,4,
157,40,Girl above dog brother,False,1,
158,40,With peace television would medical less phone decade,False,2,
159,40,Create someone rate why,False,3,
160,40,Marriage civil two approach hair decide edge pattern,True,4,
161,41,Analysis science understand compare size machine break time return,False,1,
162,41,Often industry section together discover body direction down include,False,2,
163,41,Heart determine likely machine three,False,3,
164,41,Democratic participant concern health leader,True,4,
165,42,Place wish dark camera realize arrive,False,1,
166,42,Book letter industry,False,2,
167,42,Detail far church some well town,True,3,
168,42,Wife talk beat tax majority yet option student evidence role save east force,False,4,
169,43,Develop until watch trial together,False,1,
170,43,Woman always likely shoulder almost,False,2,
171,43,Hour special recent better manager bar send really image design grow dream,False,3,
172,43,Administration protect class learn now on with,True,4,
173,44,Sign them if smile,False,1,
174,44,Phone region ability physical his real most,False,2,
175,44,International especially watch my some,True,3,
176,44,Per friend usually method travel,False,4,
177,45,Thousand book half people half compare next attack,True,1,
178,45,Catch friend much power say,False,2,
179,45,That reflect send set fly today,False,3,
180,45,Quite everyone as generation main money but report question mouth factor per,False,4,
181,46,Could this beautiful hospital condition,True,1,
182,46,Body every recent many themselves minute,False,2,
183,46,Age indicate radio use listen information scene again country against soon,False,3,
184,46,Popular in garden position for order recent success knowledge fight car smile,False,4,
185,47,Smile dinner head explain,False,1,
186,47,Chance expect what peace,False,2,
187,47,Republican expect win stuff realize project child draw,True,3,
188,47,Year off kid hard,False,4,
189,48,None alone first gas,False,1,
190,48,Large wish move building agent,True,2,
191,48,Shoulder way until choose wife national medical positive far,False,3,
192,48,Wide senior yes project son rock two,False,4,
193,49,Ready rule too cause nearly final husband subject land,True,1,
194,49,For part crime money sit short cultural,False,2,
195,49,Mrs knowledge public beautiful,False,3,
196,49,Hour make owner memory argue project huge respond into history activity general,False,4,
197,50,Within them because,False,1,
198,50,Score indeed kind clearly road today,False,2,
199,50,Cause onto beat debate listen test would at whether series because,False,3,
200,50,Police event company left,True,4,
201,51,Sense carry control high network,True,1,
202,51,State few,False,2,
203,51,Fight nice less agree able,False,3,
204,51,Feel policy PM buy,False,4,
